Team,Season,State,Home_Wins,Home_Losses,Away_Wins,Away_Losses,Total_Wins,Total_Games,Win_Pct,Home_Win_Pct,Away_Win_Pct
Sydney,2020,NSW,3,5,2,7,5,17,29.41,37.5,22.22
West Coast,2020,WA,9,1,3,5,12,18,66.67,90.0,37.5
Western Bulldogs,2020,VIC,5,3,5,5,10,18,55.56,62.5,50.0
Adelaide,2021,SA,5,6,2,9,7,22,31.82,45.45,18.18
Brisbane Lions,2021,QLD,9,3,6,6,15,24,62.5,75.0,50.0
Carlton,2021,VIC,3,8,5,6,8,22,36.36,27.27,45.45
Collingwood,2021,VIC,1,10,5,6,6,22,27.27,9.09,45.45
Essendon,2021,VIC,5,6,6,6,11,23,47.83,45.45,50.0
Fremantle,2021,WA,7,4,3,8,10,22,45.45,63.64,27.27
Geelong,2021,VIC,10,2,7,6,17,25,68.0,83.33,53.85
Gold Coast,2021,QLD,4,7,3,8,7,22,31.82,36.36,27.27
Greater Western Sydney,2021,NSW,4,7,8,4,12,24,50.0,36.36,66.67
Hawthorn,2021,VIC,4,7,3,6,7,22,31.82,36.36,33.33
Melbourne,2021,VIC,10,3,10,1,20,25,80.0,76.92,90.91
North Melbourne,2021,VIC,1,9,3,8,4,22,18.18,10.0,27.27
Port Adelaide,2021,SA,9,4,9,2,18,24,75.0,69.23,81.82
Richmond,2021,VIC,6,4,3,8,9,22,40.91,60.0,27.27
St Kilda,2021,VIC,5,6,5,6,10,22,45.45,45.45,45.45
Sydney,2021,NSW,9,3,6,5,15,23,65.22,75.0,54.55
West Coast,2021,WA,7,4,3,8,10,22,45.45,63.64,27.27
Western Bulldogs,2021,VIC,8,4,10,4,18,26,69.23,66.67,71.43
Adelaide,2022,SA,5,6,3,8,8,22,36.36,45.45,27.27
Brisbane Lions,2022,QLD,10,2,7,6,17,25,68.0,83.33,53.85
Carlton,2022,VIC,8,3,4,7,12,22,54.55,72.73,36.36
Collingwood,2022,VIC,9,3,8,5,17,25,68.0,75.0,61.54
Essendon,2022,VIC,5,6,2,9,7,22,31.82,45.45,18.18
Fremantle,2022,WA,8,4,8,3,16,24,66.67,66.67,72.73
Geelong,2022,VIC,13,1,8,3,21,25,84.0,92.86,72.73
Gold Coast,2022,QLD,7,4,3,8,10,22,45.45,63.64,27.27
Greater Western Sydney,2022,NSW,4,7,2,9,6,22,27.27,36.36,18.18
Hawthorn,2022,VIC,6,5,2,9,8,22,36.36,54.55,18.18
Melbourne,2022,VIC,8,5,8,3,16,24,66.67,61.54,72.73
North Melbourne,2022,VIC,2,9,0,11,2,22,9.09,18.18,0.0
Port Adelaide,2022,SA,7,4,3,8,10,22,45.45,63.64,27.27
Richmond,2022,VIC,9,1,4,8,13,23,56.52,90.0,33.33
St Kilda,2022,VIC,5,6,6,5,11,22,50.0,45.45,54.55
