Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Hawthorn,Richmond,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-16 13:10,89,86,1,W
Port Adelaide,Carlton,2010,SA,Home,Football Park,Adelaide,May,2010-05-16 14:40,92,118,0,L
Carlton,Port Adelaide,2010,VIC,Away,Football Park,Adelaide,May,2010-05-16 14:40,118,92,1,W
St Kilda,Essendon,2010,VIC,Home,Docklands,Melbourne,May,2010-05-16 16:40,81,93,0,L
Essendon,St Kilda,2010,VIC,Away,Docklands,Melbourne,May,2010-05-16 16:40,93,81,1,W
Collingwood,Geelong,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-21 19:40,50,86,0,L
Geelong,Collingwood,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-21 19:40,86,50,1,W
North Melbourne,Western Bulldogs,2010,VIC,Home,Docklands,Melbourne,May,2010-05-22 14:10,57,127,0,L
Western Bulldogs,North Melbourne,2010,VIC,Away,Docklands,Melbourne,May,2010-05-22 14:10,127,57,1,W
Sydney,Fremantle,2010,NSW,Home,S.C.G.,Sydney,May,2010-05-22 14:10,63,100,0,L
Fremantle,Sydney,2010,WA,Away,S.C.G.,Sydney,May,2010-05-22 14:10,100,63,1,W
Melbourne,Port Adelaide,2010,VIC,Home,Marrara Oval,Darwin,May,2010-05-22 19:10,111,110,1,W
Port Adelaide,Melbourne,2010,SA,Away,Marrara Oval,Darwin,May,2010-05-22 19:10,110,111,0,L
Essendon,Richmond,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-22 19:45,130,95,1,W
Richmond,Essendon,2010,VIC,Away,M.C.G.,Melbourne,May,2010-05-22 19:45,95,130,0,L
Adelaide,Brisbane Lions,2010,SA,Home,Football Park,Adelaide,May,2010-05-23 12:40,93,81,1,W
Brisbane Lions,Adelaide,2010,QLD,Away,Football Park,Adelaide,May,2010-05-23 12:40,81,93,0,L
Carlton,Hawthorn,2010,VIC,Home,Docklands,Melbourne,May,2010-05-23 14:10,60,110,0,L
Hawthorn,Carlton,2010,VIC,Away,Docklands,Melbourne,May,2010-05-23 14:10,110,60,1,W
West Coast,St Kilda,2010,WA,Home,Subiaco,Perth,May,2010-05-23 14:40,56,91,0,L
St Kilda,West Coast,2010,VIC,Away,Subiaco,Perth,May,2010-05-23 14:40,91,56,1,W
Essendon,Western Bulldogs,2010,VIC,Home,Docklands,Melbourne,May,2010-05-28 19:40,99,90,1,W
Western Bulldogs,Essendon,2010,VIC,Away,Docklands,Melbourne,May,2010-05-28 19:40,90,99,0,L
Geelong,Melbourne,2010,VIC,Home,Kardinia Park,Geelong,May,2010-05-29 14:10,121,67,1,W
Melbourne,Geelong,2010,VIC,Away,Kardinia Park,Geelong,May,2010-05-29 14:10,67,121,0,L
Port Adelaide,Richmond,2010,SA,Home,Football Park,Adelaide,May,2010-05-29 14:40,30,77,0,L
Richmond,Port Adelaide,2010,VIC,Away,Football Park,Adelaide,May,2010-05-29 14:40,77,30,1,W
St Kilda,Adelaide,2010,VIC,Home,Docklands,Melbourne,May,2010-05-29 19:10,123,76,1,W
Adelaide,St Kilda,2010,SA,Away,Docklands,Melbourne,May,2010-05-29 19:10,76,123,0,L
Brisbane Lions,Collingwood,2010,QLD,Home,Gabba,Brisbane,May,2010-05-29 19:10,88,80,1,W
Collingwood,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,May,2010-05-29 19:10,80,88,0,L
Hawthorn,Sydney,2010,VIC,Home,M.C.G.,Melbourne,May,2010-05-30 13:10,79,77,1,W
Sydney,Hawthorn,2010,NSW,Away,M.C.G.,Melbourne,May,2010-05-30 13:10,77,79,0,L
Carlton,West Coast,2010,VIC,Home,Docklands,Melbourne,May,2010-05-30 14:10,105,76,1,W
West Coast,Carlton,2010,WA,Away,Docklands,Melbourne,May,2010-05-30 14:10,76,105,0,L
Fremantle,North Melbourne,2010,WA,Home,Subiaco,Perth,May,2010-05-30 14:40,139,78,1,W
North Melbourne,Fremantle,2010,VIC,Away,Subiaco,Perth,May,2010-05-30 14:40,78,139,0,L
Richmond,St Kilda,2010,VIC,Home,Docklands,Melbourne,June,2010-06-04 19:40,59,97,0,L
St Kilda,Richmond,2010,VIC,Away,Docklands,Melbourne,June,2010-06-04 19:40,97,59,1,W
Carlton,Melbourne,2010,VIC,Home,M.C.G.,Melbourne,June,2010-06-05 14:10,101,60,1,W
Melbourne,Carlton,2010,VIC,Away,M.C.G.,Melbourne,June,2010-06-05 14:10,60,101,0,L
Adelaide,Fremantle,2010,SA,Home,Football Park,Adelaide,June,2010-06-05 14:40,105,82,1,W
Fremantle,Adelaide,2010,WA,Away,Football Park,Adelaide,June,2010-06-05 14:40,82,105,0,L
North Melbourne,Brisbane Lions,2010,VIC,Home,Docklands,Melbourne,June,2010-06-05 19:10,90,89,1,W
Brisbane Lions,North Melbourne,2010,QLD,Away,Docklands,Melbourne,June,2010-06-05 19:10,89,90,0,L
West Coast,Geelong,2010,WA,Home,Subiaco,Perth,June,2010-06-05 17:40,98,122,0,L
Geelong,West Coast,2010,VIC,Away,Subiaco,Perth,June,2010-06-05 17:40,122,98,1,W
Sydney,Essendon,2010,NSW,Home,S.C.G.,Sydney,June,2010-06-06 13:10,89,80,1,W
Essendon,Sydney,2010,VIC,Away,S.C.G.,Sydney,June,2010-06-06 13:10,80,89,0,L
Hawthorn,Port Adelaide,2010,VIC,Home,M.C.G.,Melbourne,June,2010-06-06 14:10,74,63,1,W
Port Adelaide,Hawthorn,2010,SA,Away,M.C.G.,Melbourne,June,2010-06-06 14:10,63,74,0,L
Collingwood,Western Bulldogs,2010,VIC,Home,Docklands,Melbourne,June,2010-06-06 16:40,113,103,1,W
Western Bulldogs,Collingwood,2010,VIC,Away,Docklands,Melbourne,June,2010-06-06 16:40,103,113,0,L
North Melbourne,Carlton,2010,VIC,Home,Docklands,Melbourne,June,2010-06-11 19:40,97,68,1,W
Carlton,North Melbourne,2010,VIC,Away,Docklands,Melbourne,June,2010-06-11 19:40,68,97,0,L
Hawthorn,Adelaide,2010,VIC,Home,York Park,Launceston,June,2010-06-12 14:10,124,77,1,W
Adelaide,Hawthorn,2010,SA,Away,York Park,Launceston,June,2010-06-12 14:10,77,124,0,L
Essendon,Geelong,2010,VIC,Home,Docklands,Melbourne,June,2010-06-12 19:10,83,154,0,L
Geelong,Essendon,2010,VIC,Away,Docklands,Melbourne,June,2010-06-12 19:10,154,83,1,W
Port Adelaide,Sydney,2010,SA,Home,Football Park,Adelaide,June,2010-06-12 19:10,55,93,0,L
Sydney,Port Adelaide,2010,NSW,Away,Football Park,Adelaide,June,2010-06-12 19:10,93,55,1,W
Richmond,West Coast,2010,VIC,Home,M.C.G.,Melbourne,June,2010-06-13 13:10,126,77,1,W
West Coast,Richmond,2010,WA,Away,M.C.G.,Melbourne,June,2010-06-13 13:10,77,126,0,L
Western Bulldogs,Brisbane Lions,2010,VIC,Home,Docklands,Melbourne,June,2010-06-13 14:10,121,56,1,W
Brisbane Lions,Western Bulldogs,2010,QLD,Away,Docklands,Melbourne,June,2010-06-13 14:10,56,121,0,L
Fremantle,St Kilda,2010,WA,Home,Subiaco,Perth,June,2010-06-13 14:40,67,85,0,L
St Kilda,Fremantle,2010,VIC,Away,Subiaco,Perth,June,2010-06-13 14:40,85,67,1,W
Melbourne,Collingwood,2010,VIC,Home,M.C.G.,Melbourne,June,2010-06-14 14:10,76,76,0,D
Collingwood,Melbourne,2010,VIC,Away,M.C.G.,Melbourne,June,2010-06-14 14:10,76,76,0,D
Hawthorn,Essendon,2010,VIC,Home,M.C.G.,Melbourne,June,2010-06-18 19:40,102,86,1,W
Essendon,Hawthorn,2010,VIC,Away,M.C.G.,Melbourne,June,2010-06-18 19:40,86,102,0,L
Carlton,Fremantle,2010,VIC,Home,Docklands,Melbourne,June,2010-06-19 19:10,87,96,0,L
Fremantle,Carlton,2010,WA,Away,Docklands,Melbourne,June,2010-06-19 19:10,96,87,1,W
Brisbane Lions,Richmond,2010,QLD,Home,Gabba,Brisbane,June,2010-06-19 19:10,86,105,0,L
Richmond,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,June,2010-06-19 19:10,105,86,1,W
North Melbourne,Port Adelaide,2010,VIC,Home,Docklands,Melbourne,June,2010-06-20 13:10,129,93,1,W
Port Adelaide,North Melbourne,2010,SA,Away,Docklands,Melbourne,June,2010-06-20 13:10,93,129,0,L
West Coast,Western Bulldogs,2010,WA,Home,Subiaco,Perth,June,2010-06-20 14:40,59,119,0,L
Western Bulldogs,West Coast,2010,VIC,Away,Subiaco,Perth,June,2010-06-20 14:40,119,59,1,W
St Kilda,Geelong,2010,VIC,Home,M.C.G.,Melbourne,June,2010-06-25 19:50,70,46,1,W
Geelong,St Kilda,2010,VIC,Away,M.C.G.,Melbourne,June,2010-06-25 19:50,46,70,0,L
