Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Western Bulldogs,Greater Western Sydney,2022,VIC,Away,Sydney Showground,Sydney,June,2022-06-18 19:25,125,105,1,W
Gold Coast,Adelaide,2022,QLD,Home,Carrara,Gold Coast,June,2022-06-19 15:20,116,73,1,W
Adelaide,Gold Coast,2022,SA,Away,Carrara,Gold Coast,June,2022-06-19 15:20,73,116,0,L
Melbourne,Brisbane Lions,2022,VIC,Home,M.C.G.,Melbourne,June,2022-06-23 19:20,117,53,1,W
Brisbane Lions,Melbourne,2022,QLD,Away,M.C.G.,Melbourne,June,2022-06-23 19:20,53,117,0,L
Western Bulldogs,Hawthorn,2022,VIC,Home,Docklands,Melbourne,June,2022-06-24 19:00,125,83,1,W
Hawthorn,Western Bulldogs,2022,VIC,Away,Docklands,Melbourne,June,2022-06-24 19:00,83,125,0,L
West Coast,Essendon,2022,WA,Home,Perth Stadium,Perth,June,2022-06-24 18:40,107,97,1,W
Essendon,West Coast,2022,VIC,Away,Perth Stadium,Perth,June,2022-06-24 18:40,97,107,0,L
Carlton,Fremantle,2022,VIC,Home,Docklands,Melbourne,June,2022-06-25 13:45,81,50,1,W
Fremantle,Carlton,2022,WA,Away,Docklands,Melbourne,June,2022-06-25 13:45,50,81,0,L
Geelong,Richmond,2022,VIC,Home,M.C.G.,Melbourne,June,2022-06-25 16:35,89,86,1,W
Richmond,Geelong,2022,VIC,Away,M.C.G.,Melbourne,June,2022-06-25 16:35,86,89,0,L
Sydney,St Kilda,2022,NSW,Home,S.C.G.,Sydney,June,2022-06-25 19:25,83,32,1,W
St Kilda,Sydney,2022,VIC,Away,S.C.G.,Sydney,June,2022-06-25 19:25,32,83,0,L
North Melbourne,Adelaide,2022,VIC,Home,Bellerive Oval,Hobart,June,2022-06-26 13:10,58,115,0,L
Adelaide,North Melbourne,2022,SA,Away,Bellerive Oval,Hobart,June,2022-06-26 13:10,115,58,1,W
Collingwood,Greater Western Sydney,2022,VIC,Home,M.C.G.,Melbourne,June,2022-06-26 15:20,88,77,1,W
Greater Western Sydney,Collingwood,2022,NSW,Away,M.C.G.,Melbourne,June,2022-06-26 15:20,77,88,0,L
Port Adelaide,Gold Coast,2022,SA,Home,Adelaide Oval,Adelaide,June,2022-06-26 15:40,93,91,1,W
Gold Coast,Port Adelaide,2022,QLD,Away,Adelaide Oval,Adelaide,June,2022-06-26 15:40,91,93,0,L
Brisbane Lions,Western Bulldogs,2022,QLD,Home,Gabba,Brisbane,June,2022-06-30 19:20,108,67,1,W
Western Bulldogs,Brisbane Lions,2022,VIC,Away,Gabba,Brisbane,June,2022-06-30 19:20,67,108,0,L
Carlton,St Kilda,2022,VIC,Home,Docklands,Melbourne,July,2022-07-01 19:50,78,93,0,L
St Kilda,Carlton,2022,VIC,Away,Docklands,Melbourne,July,2022-07-01 19:50,93,78,1,W
Essendon,Sydney,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-02 13:45,95,86,1,W
Sydney,Essendon,2022,NSW,Away,M.C.G.,Melbourne,July,2022-07-02 13:45,86,95,0,L
Adelaide,Melbourne,2022,SA,Home,Adelaide Oval,Adelaide,July,2022-07-02 16:05,65,94,0,L
Melbourne,Adelaide,2022,VIC,Away,Adelaide Oval,Adelaide,July,2022-07-02 16:05,94,65,1,W
Gold Coast,Collingwood,2022,QLD,Home,Carrara,Gold Coast,July,2022-07-02 19:25,62,67,0,L
Collingwood,Gold Coast,2022,VIC,Away,Carrara,Gold Coast,July,2022-07-02 19:25,67,62,1,W
Geelong,North Melbourne,2022,VIC,Home,Kardinia Park,Geelong,July,2022-07-02 19:25,144,32,1,W
North Melbourne,Geelong,2022,VIC,Away,Kardinia Park,Geelong,July,2022-07-02 19:25,32,144,0,L
Richmond,West Coast,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-03 14:10,128,93,1,W
West Coast,Richmond,2022,WA,Away,M.C.G.,Melbourne,July,2022-07-03 14:10,93,128,0,L
Greater Western Sydney,Hawthorn,2022,NSW,Home,Sydney Showground,Sydney,July,2022-07-03 15:20,72,50,1,W
Hawthorn,Greater Western Sydney,2022,VIC,Away,Sydney Showground,Sydney,July,2022-07-03 15:20,50,72,0,L
Fremantle,Port Adelaide,2022,WA,Home,Perth Stadium,Perth,July,2022-07-03 15:20,99,91,1,W
Port Adelaide,Fremantle,2022,SA,Away,Perth Stadium,Perth,July,2022-07-03 15:20,91,99,0,L
Geelong,Melbourne,2022,VIC,Home,Kardinia Park,Geelong,July,2022-07-07 19:20,91,63,1,W
Melbourne,Geelong,2022,VIC,Away,Kardinia Park,Geelong,July,2022-07-07 19:20,63,91,0,L
Sydney,Western Bulldogs,2022,NSW,Home,S.C.G.,Sydney,July,2022-07-08 19:50,120,67,1,W
Western Bulldogs,Sydney,2022,VIC,Away,S.C.G.,Sydney,July,2022-07-08 19:50,67,120,0,L
Collingwood,North Melbourne,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-09 13:45,88,81,1,W
North Melbourne,Collingwood,2022,VIC,Away,M.C.G.,Melbourne,July,2022-07-09 13:45,81,88,0,L
Gold Coast,Richmond,2022,QLD,Home,Carrara,Gold Coast,July,2022-07-09 16:35,94,92,1,W
Richmond,Gold Coast,2022,VIC,Away,Carrara,Gold Coast,July,2022-07-09 16:35,92,94,0,L
St Kilda,Fremantle,2022,VIC,Home,Docklands,Melbourne,July,2022-07-09 19:25,70,111,0,L
Fremantle,St Kilda,2022,WA,Away,Docklands,Melbourne,July,2022-07-09 19:25,111,70,1,W
Port Adelaide,Greater Western Sydney,2022,SA,Home,Adelaide Oval,Adelaide,July,2022-07-09 19:00,84,29,1,W
Greater Western Sydney,Port Adelaide,2022,NSW,Away,Adelaide Oval,Adelaide,July,2022-07-09 19:00,29,84,0,L
Brisbane Lions,Essendon,2022,QLD,Home,Gabba,Brisbane,July,2022-07-10 13:10,90,100,0,L
Essendon,Brisbane Lions,2022,VIC,Away,Gabba,Brisbane,July,2022-07-10 13:10,100,90,1,W
Hawthorn,Adelaide,2022,VIC,Home,Docklands,Melbourne,July,2022-07-10 15:20,86,54,1,W
Adelaide,Hawthorn,2022,SA,Away,Docklands,Melbourne,July,2022-07-10 15:20,54,86,0,L
West Coast,Carlton,2022,WA,Home,Perth Stadium,Perth,July,2022-07-10 14:40,53,116,0,L
Carlton,West Coast,2022,VIC,Away,Perth Stadium,Perth,July,2022-07-10 14:40,116,53,1,W
Western Bulldogs,St Kilda,2022,VIC,Home,Docklands,Melbourne,July,2022-07-15 19:50,84,56,1,W
St Kilda,Western Bulldogs,2022,VIC,Away,Docklands,Melbourne,July,2022-07-15 19:50,56,84,0,L
Adelaide,Collingwood,2022,SA,Home,Adelaide Oval,Adelaide,July,2022-07-16 13:15,86,91,0,L
Collingwood,Adelaide,2022,VIC,Away,Adelaide Oval,Adelaide,July,2022-07-16 13:15,91,86,1,W
Greater Western Sydney,Brisbane Lions,2022,NSW,Home,Manuka Oval,Canberra,July,2022-07-16 13:45,59,99,0,L
Brisbane Lions,Greater Western Sydney,2022,QLD,Away,Manuka Oval,Canberra,July,2022-07-16 13:45,99,59,1,W
North Melbourne,Richmond,2022,VIC,Home,Docklands,Melbourne,July,2022-07-16 16:35,92,88,1,W
Richmond,North Melbourne,2022,VIC,Away,Docklands,Melbourne,July,2022-07-16 16:35,88,92,0,L
Carlton,Geelong,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-16 19:25,55,85,0,L
Geelong,Carlton,2022,VIC,Away,M.C.G.,Melbourne,July,2022-07-16 19:25,85,55,1,W
Fremantle,Sydney,2022,WA,Home,Perth Stadium,Perth,July,2022-07-16 17:30,65,82,0,L
Sydney,Fremantle,2022,NSW,Away,Perth Stadium,Perth,July,2022-07-16 17:30,82,65,1,W
Hawthorn,West Coast,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-17 13:10,102,77,1,W
West Coast,Hawthorn,2022,WA,Away,M.C.G.,Melbourne,July,2022-07-17 13:10,77,102,0,L
Melbourne,Port Adelaide,2022,VIC,Home,Traeger Park,Alice Springs,July,2022-07-17 14:50,83,69,1,W
Port Adelaide,Melbourne,2022,SA,Away,Traeger Park,Alice Springs,July,2022-07-17 14:50,69,83,0,L
Essendon,Gold Coast,2022,VIC,Home,Docklands,Melbourne,July,2022-07-17 16:40,103,55,1,W
Gold Coast,Essendon,2022,QLD,Away,Docklands,Melbourne,July,2022-07-17 16:40,55,103,0,L
Richmond,Fremantle,2022,VIC,Home,Docklands,Melbourne,July,2022-07-22 19:50,52,52,0,D
Fremantle,Richmond,2022,WA,Away,Docklands,Melbourne,July,2022-07-22 19:50,52,52,0,D
Sydney,Adelaide,2022,NSW,Home,S.C.G.,Sydney,July,2022-07-23 13:45,118,85,1,W
Adelaide,Sydney,2022,SA,Away,S.C.G.,Sydney,July,2022-07-23 13:45,85,118,0,L
North Melbourne,Hawthorn,2022,VIC,Home,Bellerive Oval,Hobart,July,2022-07-23 13:45,75,121,0,L
Hawthorn,North Melbourne,2022,VIC,Away,Bellerive Oval,Hobart,July,2022-07-23 13:45,121,75,1,W
Port Adelaide,Geelong,2022,SA,Home,Adelaide Oval,Adelaide,July,2022-07-23 16:05,94,106,0,L
Geelong,Port Adelaide,2022,VIC,Away,Adelaide Oval,Adelaide,July,2022-07-23 16:05,106,94,1,W
Brisbane Lions,Gold Coast,2022,QLD,Home,Gabba,Brisbane,July,2022-07-23 19:10,110,93,1,W
Gold Coast,Brisbane Lions,2022,QLD,Away,Gabba,Brisbane,July,2022-07-23 19:10,93,110,0,L
Western Bulldogs,Melbourne,2022,VIC,Home,Docklands,Melbourne,July,2022-07-23 19:25,110,100,1,W
Melbourne,Western Bulldogs,2022,VIC,Away,Docklands,Melbourne,July,2022-07-23 19:25,100,110,0,L
Carlton,Greater Western Sydney,2022,VIC,Home,Docklands,Melbourne,July,2022-07-24 13:10,90,54,1,W
Greater Western Sydney,Carlton,2022,NSW,Away,Docklands,Melbourne,July,2022-07-24 13:10,54,90,0,L
Collingwood,Essendon,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-24 15:20,80,76,1,W
Essendon,Collingwood,2022,VIC,Away,M.C.G.,Melbourne,July,2022-07-24 15:20,76,80,0,L
West Coast,St Kilda,2022,WA,Home,Perth Stadium,Perth,July,2022-07-24 14:40,62,90,0,L
St Kilda,West Coast,2022,VIC,Away,Perth Stadium,Perth,July,2022-07-24 14:40,90,62,1,W
Fremantle,Melbourne,2022,WA,Home,Perth Stadium,Perth,July,2022-07-29 18:10,39,85,0,L
Melbourne,Fremantle,2022,VIC,Away,Perth Stadium,Perth,July,2022-07-29 18:10,85,39,1,W
Collingwood,Port Adelaide,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-30 13:45,88,82,1,W
Port Adelaide,Collingwood,2022,SA,Away,M.C.G.,Melbourne,July,2022-07-30 13:45,82,88,0,L
Sydney,Greater Western Sydney,2022,NSW,Home,S.C.G.,Sydney,July,2022-07-30 14:10,112,39,1,W
Greater Western Sydney,Sydney,2022,NSW,Away,S.C.G.,Sydney,July,2022-07-30 14:10,39,112,0,L
St Kilda,Hawthorn,2022,VIC,Home,Docklands,Melbourne,July,2022-07-30 16:35,75,63,1,W
Hawthorn,St Kilda,2022,VIC,Away,Docklands,Melbourne,July,2022-07-30 16:35,63,75,0,L
Geelong,Western Bulldogs,2022,VIC,Home,Kardinia Park,Geelong,July,2022-07-30 19:25,94,66,1,W
Western Bulldogs,Geelong,2022,VIC,Away,Kardinia Park,Geelong,July,2022-07-30 19:25,66,94,0,L
Adelaide,Carlton,2022,SA,Home,Adelaide Oval,Adelaide,July,2022-07-30 19:00,84,55,1,W
Carlton,Adelaide,2022,VIC,Away,Adelaide Oval,Adelaide,July,2022-07-30 19:00,55,84,0,L
Gold Coast,West Coast,2022,QLD,Home,Carrara,Gold Coast,July,2022-07-31 13:10,107,104,1,W
West Coast,Gold Coast,2022,WA,Away,Carrara,Gold Coast,July,2022-07-31 13:10,104,107,0,L
Richmond,Brisbane Lions,2022,VIC,Home,M.C.G.,Melbourne,July,2022-07-31 15:20,104,97,1,W
Brisbane Lions,Richmond,2022,QLD,Away,M.C.G.,Melbourne,July,2022-07-31 15:20,97,104,0,L
Essendon,North Melbourne,2022,VIC,Home,Docklands,Melbourne,July,2022-07-31 16:40,114,66,1,W
North Melbourne,Essendon,2022,VIC,Away,Docklands,Melbourne,July,2022-07-31 16:40,66,114,0,L
Melbourne,Collingwood,2022,VIC,Home,M.C.G.,Melbourne,August,2022-08-05 19:50,89,96,0,L
Collingwood,Melbourne,2022,VIC,Away,M.C.G.,Melbourne,August,2022-08-05 19:50,96,89,1,W
Hawthorn,Gold Coast,2022,VIC,Home,York Park,Launceston,August,2022-08-06 13:45,70,63,1,W
Gold Coast,Hawthorn,2022,QLD,Away,York Park,Launceston,August,2022-08-06 13:45,63,70,0,L
Greater Western Sydney,Essendon,2022,NSW,Home,Sydney Showground,Sydney,August,2022-08-06 14:10,96,69,1,W
Essendon,Greater Western Sydney,2022,VIC,Away,Sydney Showground,Sydney,August,2022-08-06 14:10,69,96,0,L
Western Bulldogs,Fremantle,2022,VIC,Home,Docklands,Melbourne,August,2022-08-06 16:35,78,95,0,L
Fremantle,Western Bulldogs,2022,WA,Away,Docklands,Melbourne,August,2022-08-06 16:35,95,78,1,W
Geelong,St Kilda,2022,VIC,Home,Kardinia Park,Geelong,August,2022-08-06 19:25,110,65,1,W
St Kilda,Geelong,2022,VIC,Away,Kardinia Park,Geelong,August,2022-08-06 19:25,65,110,0,L
Port Adelaide,Richmond,2022,SA,Home,Adelaide Oval,Adelaide,August,2022-08-06 19:10,71,109,0,L
Richmond,Port Adelaide,2022,VIC,Away,Adelaide Oval,Adelaide,August,2022-08-06 19:10,109,71,1,W
North Melbourne,Sydney,2022,VIC,Home,Docklands,Melbourne,August,2022-08-07 13:10,88,126,0,L
Sydney,North Melbourne,2022,NSW,Away,Docklands,Melbourne,August,2022-08-07 13:10,126,88,1,W
Brisbane Lions,Carlton,2022,QLD,Home,Gabba,Brisbane,August,2022-08-07 15:20,114,81,1,W
Carlton,Brisbane Lions,2022,VIC,Away,Gabba,Brisbane,August,2022-08-07 15:20,81,114,0,L
West Coast,Adelaide,2022,WA,Home,Perth Stadium,Perth,August,2022-08-07 14:10,86,102,0,L
Adelaide,West Coast,2022,SA,Away,Perth Stadium,Perth,August,2022-08-07 14:10,102,86,1,W
St Kilda,Brisbane Lions,2022,VIC,Home,Docklands,Melbourne,August,2022-08-12 19:50,66,81,0,L
Brisbane Lions,St Kilda,2022,QLD,Away,Docklands,Melbourne,August,2022-08-12 19:50,81,66,1,W
Western Bulldogs,Greater Western Sydney,2022,VIC,Home,Docklands,Melbourne,August,2022-08-13 13:45,62,57,1,W
Greater Western Sydney,Western Bulldogs,2022,NSW,Away,Docklands,Melbourne,August,2022-08-13 13:45,57,62,0,L
Adelaide,North Melbourne,2022,SA,Home,Adelaide Oval,Adelaide,August,2022-08-13 13:40,103,74,1,W
North Melbourne,Adelaide,2022,VIC,Away,Adelaide Oval,Adelaide,August,2022-08-13 13:40,74,103,0,L
Gold Coast,Geelong,2022,QLD,Home,Carrara,Gold Coast,August,2022-08-13 16:35,59,119,0,L
Geelong,Gold Coast,2022,VIC,Away,Carrara,Gold Coast,August,2022-08-13 16:35,119,59,1,W
Melbourne,Carlton,2022,VIC,Home,M.C.G.,Melbourne,August,2022-08-13 19:25,79,74,1,W
Carlton,Melbourne,2022,VIC,Away,M.C.G.,Melbourne,August,2022-08-13 19:25,74,79,0,L
Fremantle,West Coast,2022,WA,Home,Perth Stadium,Perth,August,2022-08-13 17:40,71,47,1,W
West Coast,Fremantle,2022,WA,Away,Perth Stadium,Perth,August,2022-08-13 17:40,47,71,0,L
Richmond,Hawthorn,2022,VIC,Home,M.C.G.,Melbourne,August,2022-08-14 13:10,128,67,1,W
Hawthorn,Richmond,2022,VIC,Away,M.C.G.,Melbourne,August,2022-08-14 13:10,67,128,0,L
Sydney,Collingwood,2022,NSW,Home,S.C.G.,Sydney,August,2022-08-14 15:20,77,50,1,W
Collingwood,Sydney,2022,VIC,Away,S.C.G.,Sydney,August,2022-08-14 15:20,50,77,0,L
Essendon,Port Adelaide,2022,VIC,Home,Docklands,Melbourne,August,2022-08-14 16:40,62,146,0,L
Port Adelaide,Essendon,2022,SA,Away,Docklands,Melbourne,August,2022-08-14 16:40,146,62,1,W
Brisbane Lions,Melbourne,2022,QLD,Home,Gabba,Brisbane,August,2022-08-19 19:50,57,115,0,L
Melbourne,Brisbane Lions,2022,VIC,Away,Gabba,Brisbane,August,2022-08-19 19:50,115,57,1,W
Greater Western Sydney,Fremantle,2022,NSW,Home,Manuka Oval,Canberra,August,2022-08-20 13:45,69,89,0,L
Fremantle,Greater Western Sydney,2022,WA,Away,Manuka Oval,Canberra,August,2022-08-20 13:45,89,69,1,W
North Melbourne,Gold Coast,2022,VIC,Home,Docklands,Melbourne,August,2022-08-20 14:10,47,114,0,L
Gold Coast,North Melbourne,2022,QLD,Away,Docklands,Melbourne,August,2022-08-20 14:10,114,47,1,W
Geelong,West Coast,2022,VIC,Home,Kardinia Park,Geelong,August,2022-08-20 16:35,131,46,1,W
West Coast,Geelong,2022,WA,Away,Kardinia Park,Geelong,August,2022-08-20 16:35,46,131,0,L
Essendon,Richmond,2022,VIC,Home,M.C.G.,Melbourne,August,2022-08-20 19:25,75,141,0,L
Richmond,Essendon,2022,VIC,Away,M.C.G.,Melbourne,August,2022-08-20 19:25,141,75,1,W
Port Adelaide,Adelaide,2022,SA,Home,Adelaide Oval,Adelaide,August,2022-08-20 19:00,111,55,1,W
Adelaide,Port Adelaide,2022,SA,Away,Adelaide Oval,Adelaide,August,2022-08-20 19:00,55,111,0,L
Hawthorn,Western Bulldogs,2022,VIC,Home,York Park,Launceston,August,2022-08-21 13:10,64,87,0,L
Western Bulldogs,Hawthorn,2022,VIC,Away,York Park,Launceston,August,2022-08-21 13:10,87,64,1,W
Carlton,Collingwood,2022,VIC,Home,M.C.G.,Melbourne,August,2022-08-21 15:20,74,75,0,L
Collingwood,Carlton,2022,VIC,Away,M.C.G.,Melbourne,August,2022-08-21 15:20,75,74,1,W
St Kilda,Sydney,2022,VIC,Home,Docklands,Melbourne,August,2022-08-21 16:40,74,88,0,L
Sydney,St Kilda,2022,NSW,Away,Docklands,Melbourne,August,2022-08-21 16:40,88,74,1,W
Brisbane Lions,Richmond,2022,QLD,Home,Gabba,Brisbane,September,2022-09-01 19:20,106,104,1,W
Richmond,Brisbane Lions,2022,VIC,Away,Gabba,Brisbane,September,2022-09-01 19:20,104,106,0,L
Melbourne,Sydney,2022,VIC,Home,M.C.G.,Melbourne,September,2022-09-02 19:50,69,91,0,L
Sydney,Melbourne,2022,NSW,Away,M.C.G.,Melbourne,September,2022-09-02 19:50,91,69,1,W
Geelong,Collingwood,2022,VIC,Home,M.C.G.,Melbourne,September,2022-09-03 16:35,78,72,1,W
Collingwood,Geelong,2022,VIC,Away,M.C.G.,Melbourne,September,2022-09-03 16:35,72,78,0,L
Fremantle,Western Bulldogs,2022,WA,Home,Perth Stadium,Perth,September,2022-09-03 18:10,73,60,1,W
Western Bulldogs,Fremantle,2022,VIC,Away,Perth Stadium,Perth,September,2022-09-03 18:10,60,73,0,L
Melbourne,Brisbane Lions,2022,VIC,Home,M.C.G.,Melbourne,September,2022-09-09 19:50,79,92,0,L
Brisbane Lions,Melbourne,2022,QLD,Away,M.C.G.,Melbourne,September,2022-09-09 19:50,92,79,1,W
Collingwood,Fremantle,2022,VIC,Home,M.C.G.,Melbourne,September,2022-09-10 19:25,79,59,1,W
Fremantle,Collingwood,2022,WA,Away,M.C.G.,Melbourne,September,2022-09-10 19:25,59,79,0,L
Geelong,Brisbane Lions,2022,VIC,Home,M.C.G.,Melbourne,September,2022-09-16 19:50,120,49,1,W
Brisbane Lions,Geelong,2022,QLD,Away,M.C.G.,Melbourne,September,2022-09-16 19:50,49,120,0,L
Sydney,Collingwood,2022,NSW,Home,S.C.G.,Sydney,September,2022-09-17 16:45,95,94,1,W
Collingwood,Sydney,2022,VIC,Away,S.C.G.,Sydney,September,2022-09-17 16:45,94,95,0,L
Geelong,Sydney,2022,VIC,Home,M.C.G.,Melbourne,September,2022-09-24 14:30,133,52,1,W
Sydney,Geelong,2022,NSW,Away,M.C.G.,Melbourne,September,2022-09-24 14:30,52,133,0,L
Richmond,Carlton,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-16 19:20,58,58,0,D
Carlton,Richmond,2023,VIC,Away,M.C.G.,Melbourne,March,2023-03-16 19:20,58,58,0,D
Geelong,Collingwood,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-17 19:40,103,125,0,L
Collingwood,Geelong,2023,VIC,Away,M.C.G.,Melbourne,March,2023-03-17 19:40,125,103,1,W
North Melbourne,West Coast,2023,VIC,Home,Docklands,Melbourne,March,2023-03-18 13:45,87,82,1,W
West Coast,North Melbourne,2023,WA,Away,Docklands,Melbourne,March,2023-03-18 13:45,82,87,0,L
Port Adelaide,Brisbane Lions,2023,SA,Home,Adelaide Oval,Adelaide,March,2023-03-18 16:05,126,72,1,W
Brisbane Lions,Port Adelaide,2023,QLD,Away,Adelaide Oval,Adelaide,March,2023-03-18 16:05,72,126,0,L
Melbourne,Western Bulldogs,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-18 19:25,115,65,1,W
Western Bulldogs,Melbourne,2023,VIC,Away,M.C.G.,Melbourne,March,2023-03-18 19:25,65,115,0,L
Gold Coast,Sydney,2023,QLD,Home,Carrara,Gold Coast,March,2023-03-18 19:00,61,110,0,L
Sydney,Gold Coast,2023,NSW,Away,Carrara,Gold Coast,March,2023-03-18 19:00,110,61,1,W
Greater Western Sydney,Adelaide,2023,NSW,Home,Sydney Showground,Sydney,March,2023-03-19 13:10,106,90,1,W
Adelaide,Greater Western Sydney,2023,SA,Away,Sydney Showground,Sydney,March,2023-03-19 13:10,90,106,0,L
Hawthorn,Essendon,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-19 15:20,65,124,0,L
Essendon,Hawthorn,2023,VIC,Away,M.C.G.,Melbourne,March,2023-03-19 15:20,124,65,1,W
St Kilda,Fremantle,2023,VIC,Home,Docklands,Melbourne,March,2023-03-19 16:40,67,52,1,W
Fremantle,St Kilda,2023,WA,Away,Docklands,Melbourne,March,2023-03-19 16:40,52,67,0,L
Carlton,Geelong,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-23 19:20,90,82,1,W
Geelong,Carlton,2023,VIC,Away,M.C.G.,Melbourne,March,2023-03-23 19:20,82,90,0,L
Brisbane Lions,Melbourne,2023,QLD,Home,Gabba,Brisbane,March,2023-03-24 18:55,93,82,1,W
Melbourne,Brisbane Lions,2023,VIC,Away,Gabba,Brisbane,March,2023-03-24 18:55,82,93,0,L
Collingwood,Port Adelaide,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-25 13:45,135,64,1,W
Port Adelaide,Collingwood,2023,SA,Away,M.C.G.,Melbourne,March,2023-03-25 13:45,64,135,0,L
Adelaide,Richmond,2023,SA,Home,Adelaide Oval,Adelaide,March,2023-03-25 16:05,76,108,0,L
Richmond,Adelaide,2023,VIC,Away,Adelaide Oval,Adelaide,March,2023-03-25 16:05,108,76,1,W
Western Bulldogs,St Kilda,2023,VIC,Home,Docklands,Melbourne,March,2023-03-25 19:25,41,92,0,L
St Kilda,Western Bulldogs,2023,VIC,Away,Docklands,Melbourne,March,2023-03-25 19:25,92,41,1,W
Fremantle,North Melbourne,2023,WA,Home,Perth Stadium,Perth,March,2023-03-25 16:30,72,73,0,L
North Melbourne,Fremantle,2023,VIC,Away,Perth Stadium,Perth,March,2023-03-25 16:30,73,72,1,W
Sydney,Hawthorn,2023,NSW,Home,S.C.G.,Sydney,March,2023-03-26 13:10,118,37,1,W
Hawthorn,Sydney,2023,VIC,Away,S.C.G.,Sydney,March,2023-03-26 13:10,37,118,0,L
Essendon,Gold Coast,2023,VIC,Home,Docklands,Melbourne,March,2023-03-26 15:20,108,80,1,W
Gold Coast,Essendon,2023,QLD,Away,Docklands,Melbourne,March,2023-03-26 15:20,80,108,0,L
West Coast,Greater Western Sydney,2023,WA,Home,Perth Stadium,Perth,March,2023-03-26 15:20,100,81,1,W
Greater Western Sydney,West Coast,2023,NSW,Away,Perth Stadium,Perth,March,2023-03-26 15:20,81,100,0,L
Western Bulldogs,Brisbane Lions,2023,VIC,Home,Docklands,Melbourne,March,2023-03-30 19:20,67,53,1,W
Brisbane Lions,Western Bulldogs,2023,QLD,Away,Docklands,Melbourne,March,2023-03-30 19:20,53,67,0,L
Collingwood,Richmond,2023,VIC,Home,M.C.G.,Melbourne,March,2023-03-31 19:50,63,49,1,W
Richmond,Collingwood,2023,VIC,Away,M.C.G.,Melbourne,March,2023-03-31 19:50,49,63,0,L
Hawthorn,North Melbourne,2023,VIC,Home,York Park,Launceston,April,2023-04-01 13:45,80,61,1,W
North Melbourne,Hawthorn,2023,VIC,Away,York Park,Launceston,April,2023-04-01 13:45,61,80,0,L
Greater Western Sydney,Carlton,2023,NSW,Home,Sydney Showground,Sydney,April,2023-04-01 16:35,64,74,0,L
Carlton,Greater Western Sydney,2023,VIC,Away,Sydney Showground,Sydney,April,2023-04-01 16:35,74,64,1,W
St Kilda,Essendon,2023,VIC,Home,M.C.G.,Melbourne,April,2023-04-01 19:25,92,74,1,W
Essendon,St Kilda,2023,VIC,Away,M.C.G.,Melbourne,April,2023-04-01 19:25,74,92,0,L
Port Adelaide,Adelaide,2023,SA,Home,Adelaide Oval,Adelaide,April,2023-04-01 19:00,86,117,0,L
Adelaide,Port Adelaide,2023,SA,Away,Adelaide Oval,Adelaide,April,2023-04-01 19:00,117,86,1,W
Gold Coast,Geelong,2023,QLD,Home,Carrara,Gold Coast,April,2023-04-02 14:10,73,54,1,W
Geelong,Gold Coast,2023,VIC,Away,Carrara,Gold Coast,April,2023-04-02 14:10,54,73,0,L
Melbourne,Sydney,2023,VIC,Home,M.C.G.,Melbourne,April,2023-04-02 15:20,134,84,1,W
Sydney,Melbourne,2023,NSW,Away,M.C.G.,Melbourne,April,2023-04-02 15:20,84,134,0,L
Fremantle,West Coast,2023,WA,Home,Perth Stadium,Perth,April,2023-04-02 15:20,108,67,1,W
West Coast,Fremantle,2023,WA,Away,Perth Stadium,Perth,April,2023-04-02 15:20,67,108,0,L
Brisbane Lions,Collingwood,2023,QLD,Home,Gabba,Brisbane,April,2023-04-06 19:35,116,83,1,W
Collingwood,Brisbane Lions,2023,VIC,Away,Gabba,Brisbane,April,2023-04-06 19:35,83,116,0,L
North Melbourne,Carlton,2023,VIC,Home,Docklands,Melbourne,April,2023-04-07 16:20,84,107,0,L
Carlton,North Melbourne,2023,VIC,Away,Docklands,Melbourne,April,2023-04-07 16:20,107,84,1,W
Adelaide,Fremantle,2023,SA,Home,Adelaide Oval,Adelaide,April,2023-04-08 13:15,111,72,1,W
Fremantle,Adelaide,2023,WA,Away,Adelaide Oval,Adelaide,April,2023-04-08 13:15,72,111,0,L
Richmond,Western Bulldogs,2023,VIC,Home,M.C.G.,Melbourne,April,2023-04-08 16:35,84,89,0,L
Western Bulldogs,Richmond,2023,VIC,Away,M.C.G.,Melbourne,April,2023-04-08 16:35,89,84,1,W
Sydney,Port Adelaide,2023,NSW,Home,S.C.G.,Sydney,April,2023-04-08 19:30,64,66,0,L
Port Adelaide,Sydney,2023,SA,Away,S.C.G.,Sydney,April,2023-04-08 19:30,66,64,1,W
St Kilda,Gold Coast,2023,VIC,Home,Docklands,Melbourne,April,2023-04-08 19:30,113,60,1,W
